reference_id,customer_id,city,state,service_history,common_problem,historical_solution,vehicle_brand,data_nature
VS-0098,98,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Inspection,Misaligned tires,Tire alignment,Mahindra,public-reference
VS-0099,99,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Toyota,public-reference
VS-0100,100,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake noise,Brake pad replacement,Audi,public-reference
VS-0101,101,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement,Honda,public-reference
VS-0102,102,Ananthapuram,Andhra Pradesh,Transmission Service; Diagnostics,Transmission slipping,Transmission fluid change,Tata Motors,public-reference
VS-0103,103,Ananthapuram,Andhra Pradesh,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning,Ford,public-reference
VS-0104,104,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Service,Exhaust noise,Exhaust system repair,Hyundai,public-reference
VS-0105,105,Ananthapuram,Andhra Pradesh,Brake Inspection; Tire Rotation,Misaligned wheels,Wheel alignment,Nissan,public-reference
VS-0106,106,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Check,Engine misfiring,Spark plug replacement,Volkswagen,public-reference
VS-0107,107,Ananthapuram,Andhra Pradesh,Suspension Repair; Oil Change,Steering issues,Suspension adjustment,Kia,public-reference
VS-0108,108,Ananthapuram,Andhra Pradesh,Engine Repair; Tire Alignment,Misaligned tires,Tire alignment,Toyota,public-reference
VS-0109,109,Ananthapuram,Andhra Pradesh,Battery Replacement; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0110,110,Ananthapuram,Andhra Pradesh,Exhaust Leak; Diagnostics,Exhaust leak,Exhaust system repair,Bajaj Auto,public-reference
VS-0111,111,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Mahindra,public-reference
VS-0112,112,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Tire wear,Tire rotation and balancing,Renault,public-reference
VS-0113,113,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Audi,public-reference
VS-0114,114,Ananthapuram,Andhra Pradesh,Brake Repair; Tire Replacement,Body damage,Body repair,Volkswagen,public-reference
VS-0115,115,Ananthapuram,Andhra Pradesh,Fluid Leak; Oil Change,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0116,116,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Diagnostics,Check engine light,Diagnostic scan,Hero MotoCorp,public-reference
VS-0117,117,Ananthapuram,Andhra Pradesh,Brake Service; Oil Change,Brake wear,Brake replacement,Hyundai,public-reference
VS-0118,118,Ananthapuram,Andhra Pradesh,Tire Replacement; Engine Check,Tire wear,Tire rotation and balancing,Bajaj Auto,public-reference
VS-0119,119,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Fluid Change,Exhaust noise,Exhaust system repair,Ford,public-reference
VS-0120,120,Ananthapuram,Andhra Pradesh,Oil Change; Brake Inspection,Brake noise,Brake pad replacement,Maruti Suzuki,public-reference
VS-0121,121,Ananthapuram,Andhra Pradesh,Engine Repair; Diagnostics,Engine misfire,Diagnostic scan,Nissan,public-reference
VS-0122,122,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation and balancing,Hyundai,public-reference
VS-0123,123,Ananthapuram,Andhra Pradesh,Fluid Check; Oil Change,Low oil,Oil replacement,Ford,public-reference
VS-0124,124,Ananthapuram,Andhra Pradesh,Brake Inspection; General Maintenance,Brake noise,Brake pad replacement,Mahindra,public-reference
VS-0125,125,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine roughness,Spark plug replacement,Toyota,public-reference
VS-0126,126,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Brake Service,Slipping transmission,Transmission fluid change,Volkswagen,public-reference
VS-0127,127,Ananthapuram,Andhra Pradesh,General Maintenance; Tire Inspection,Tire wear,Tire rotation,Audi,public-reference
VS-0128,128,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Tata Motors,public-reference
VS-0129,129,Ananthapuram,Andhra Pradesh,Exhaust Repair; Engine Check,Exhaust noise,Exhaust system repair,Bajaj Auto,public-reference
VS-0130,130,Ananthapuram,Andhra Pradesh,Battery Inspection; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0131,131,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0132,132,Ananthapuram,Andhra Pradesh,Engine Repair; Brake Service,Engine overheating,Cooling system flush,Hyundai,public-reference
VS-0133,133,Ananthapuram,Andhra Pradesh,Brake Inspection; Oil Change,Brake noise,Brake pad replacement,Ford,public-reference
VS-0134,134,Ananthapuram,Andhra Pradesh,Tire Replacement; Diagnostics,Tire damage,Tire replacement,Tata Motors,public-reference
VS-0135,135,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Repair,Engine misfiring,Spark plug replacement,Nissan,public-reference
VS-0136,136,Ananthapuram,Andhra Pradesh,Suspension Repair; Oil Change,Steering issues,Suspension adjustment,Kia,public-reference
VS-0137,137,Ananthapuram,Andhra Pradesh,Brake Service; Tire Inspection,Brake wear,Brake pad replacement,Hero MotoCorp,public-reference
VS-0138,138,Ananthapuram,Andhra Pradesh,Fluid Check; Engine Diagnostics,Fluid leak,Fluid replacement,Volkswagen,public-reference
VS-0139,139,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Inspection,Misaligned tires,Tire alignment,Mahindra,public-reference
VS-0140,140,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Toyota,public-reference
VS-0141,141,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake noise,Brake pad replacement,Audi,public-reference
VS-0142,142,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement,Honda,public-reference
VS-0143,143,Ananthapuram,Andhra Pradesh,Transmission Service; Diagnostics,Transmission slipping,Transmission fluid change,Tata Motors,public-reference
VS-0144,144,Ananthapuram,Andhra Pradesh,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning,Ford,public-reference
VS-0145,145,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Service,Exhaust noise,Exhaust system repair,Hyundai,public-reference
VS-0146,146,Ananthapuram,Andhra Pradesh,Brake Inspection; Tire Rotation,Misaligned wheels,Wheel alignment,Nissan,public-reference
VS-0147,147,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Check,Engine misfiring,Spark plug replacement,Volkswagen,public-reference
VS-0148,148,Ananthapuram,Andhra Pradesh,Suspension Repair; Oil Change,Steering issues,Suspension adjustment,Kia,public-reference
VS-0149,149,Ananthapuram,Andhra Pradesh,Engine Repair; Tire Alignment,Misaligned tires,Tire alignment,Toyota,public-reference
VS-0150,150,Ananthapuram,Andhra Pradesh,Battery Replacement; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0151,151,Ananthapuram,Andhra Pradesh,Exhaust Leak; Diagnostics,Exhaust leak,Exhaust system repair,Bajaj Auto,public-reference
VS-0152,152,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Mahindra,public-reference
VS-0153,153,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Tire wear,Tire rotation and balancing,Renault,public-reference
VS-0154,154,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Audi,public-reference
VS-0155,155,Ananthapuram,Andhra Pradesh,Brake Repair; Tire Replacement,Body damage,Body repair,Volkswagen,public-reference
VS-0156,156,Ananthapuram,Andhra Pradesh,Fluid Leak; Oil Change,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0157,157,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Diagnostics,Check engine light,Diagnostic scan,Hero MotoCorp,public-reference
VS-0158,158,Ananthapuram,Andhra Pradesh,Brake Service; Oil Change,Brake wear,Brake replacement,Hyundai,public-reference
VS-0159,159,Ananthapuram,Andhra Pradesh,Tire Replacement; Engine Check,Tire wear,Tire rotation and balancing,Bajaj Auto,public-reference
VS-0160,160,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Fluid Change,Exhaust noise,Exhaust system repair,Ford,public-reference
VS-0161,161,Ananthapuram,Andhra Pradesh,Oil Change; Brake Inspection,Brake noise,Brake pad replacement,Maruti Suzuki,public-reference
VS-0162,162,Ananthapuram,Andhra Pradesh,Engine Repair; Diagnostics,Engine misfire,Diagnostic scan,Nissan,public-reference
VS-0163,163,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation and balancing,Hyundai,public-reference
VS-0164,164,Ananthapuram,Andhra Pradesh,Fluid Check; Oil Change,Low oil,Oil replacement,Ford,public-reference
VS-0165,165,Ananthapuram,Andhra Pradesh,Brake Inspection; General Maintenance,Brake noise,Brake pad replacement,Mahindra,public-reference
VS-0166,166,Ananthapuram,Andhra Pradesh,Engine Diagnostics; Tune-Up,Engine roughness,Spark plug replacement,Toyota,public-reference
VS-0167,167,Ananthapuram,Andhra Pradesh,Transmission Fluid Change; Brake Service,Slipping transmission,Transmission fluid change,Volkswagen,public-reference
VS-0168,168,Ananthapuram,Andhra Pradesh,General Maintenance; Tire Inspection,Tire wear,Tire rotation,Audi,public-reference
VS-0169,169,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Tata Motors,public-reference
VS-0170,170,Ananthapuram,Andhra Pradesh,Exhaust Repair; Engine Check,Exhaust noise,Exhaust system repair,Bajaj Auto,public-reference
VS-0171,171,Ananthapuram,Andhra Pradesh,Battery Inspection; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0172,172,Ananthapuram,Andhra Pradesh,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0173,173,Ananthapuram,Andhra Pradesh,Engine Repair; Brake Service,Engine overheating,Cooling system flush,Hyundai,public-reference
VS-0174,174,Ananthapuram,Andhra Pradesh,Brake Inspection; Oil Change,Brake noise,Brake pad replacement,Ford,public-reference
VS-0175,175,Ananthapuram,Andhra Pradesh,Tire Replacement; Diagnostics,Tire damage,Tire replacement,Tata Motors,public-reference
VS-0176,176,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Repair,Engine misfiring,Spark plug replacement,Nissan,public-reference
VS-0177,177,Ananthapuram,Andhra Pradesh,Suspension Repair; Oil Change,Steering issues,Suspension adjustment,Kia,public-reference
VS-0178,178,Ananthapuram,Andhra Pradesh,Brake Service; Tire Inspection,Brake wear,Brake pad replacement,Hero MotoCorp,public-reference
VS-0179,179,Ananthapuram,Andhra Pradesh,Fluid Check; Engine Diagnostics,Fluid leak,Fluid replacement,Volkswagen,public-reference
VS-0180,180,Ananthapuram,Andhra Pradesh,Tire Alignment; Brake Inspection,Misaligned tires,Tire alignment,Mahindra,public-reference
VS-0181,181,Ananthapuram,Andhra Pradesh,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair,Toyota,public-reference
VS-0182,182,Ananthapuram,Andhra Pradesh,Brake Repair; Oil Change,Brake noise,Brake pad replacement,Audi,public-reference
VS-0183,183,Ananthapuram,Andhra Pradesh,Oil Change; Brake Repair,Brake noise,Brake pad replacement,Honda,public-reference
VS-0184,184,Ananthapuram,Andhra Pradesh,Transmission Service; Diagnostics,Transmission slipping,Transmission fluid change,Tata Motors,public-reference
VS-0185,185,Ananthapuram,Andhra Pradesh,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning,Ford,public-reference
VS-0186,186,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Service,Exhaust noise,Exhaust system repair,Hyundai,public-reference
VS-0187,187,Ananthapuram,Andhra Pradesh,Brake Inspection; Tire Rotation,Misaligned wheels,Wheel alignment,Nissan,public-reference
VS-0188,188,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Check,Engine misfiring,Spark plug replacement,Volkswagen,public-reference
VS-0189,189,Ananthapuram,Andhra Pradesh,Suspension Repair; Oil Change,Steering issues,Suspension adjustment,Kia,public-reference
VS-0190,190,Ananthapuram,Andhra Pradesh,Engine Repair; Tire Alignment,Misaligned tires,Tire alignment,Toyota,public-reference
VS-0191,191,Ananthapuram,Andhra Pradesh,Battery Replacement; General Maintenance,Dead battery,Battery replacement,Hero MotoCorp,public-reference
VS-0192,192,Ananthapuram,Andhra Pradesh,Exhaust Leak; Diagnostics,Exhaust leak,Exhaust system repair,Bajaj Auto,public-reference
VS-0193,193,Ananthapuram,Andhra Pradesh,Oil Change; Brake Fluid Change,Brake fluid leak,Brake fluid replacement,Mahindra,public-reference
VS-0194,194,Ananthapuram,Andhra Pradesh,Tire Alignment; General Maintenance,Tire wear,Tire rotation and balancing,Renault,public-reference
VS-0195,195,Ananthapuram,Andhra Pradesh,Engine Overheating; Tune-Up,Engine overheating,Cooling system flush,Audi,public-reference
VS-0196,196,Ananthapuram,Andhra Pradesh,Brake Repair; Tire Replacement,Body damage,Body repair,Volkswagen,public-reference
VS-0197,197,Ananthapuram,Andhra Pradesh,Fluid Leak; Oil Change,Fluid leak,Fluid replacement,TVS Motor Company,public-reference
VS-0198,198,Ananthapuram,Andhra Pradesh,General Maintenance; Engine Diagnostics,Check engine light,Diagnostic scan,Hero MotoCorp,public-reference
VS-0199,199,Ananthapuram,Andhra Pradesh,Brake Service; Oil Change,Brake wear,Brake replacement,Hyundai,public-reference
VS-0200,200,Ananthapuram,Andhra Pradesh,Tire Replacement; Engine Check,Tire wear,Tire rotation and balancing,Bajaj Auto,public-reference
VS-0201,201,Ananthapuram,Andhra Pradesh,Exhaust Repair; Brake Fluid Change,Exhaust noise,Exhaust system repair,Ford,public-reference
VS-0202,202,Ananthapuram,Andhra Pradesh,Oil Change; Brake Inspection,Brake noise,Brake pad replacement,Maruti Suzuki,public-reference
VS-0203,203,Ananthapuram,Andhra Pradesh,Engine Repair; Diagnostics,Engine misfire,Diagnostic scan,Nissan,public-reference
VS-0204,204,Ananthapuram,Andhra Pradesh,Tire Rotation; Brake Service,Tire wear,Tire rotation and balancing,Hyundai,public-reference
