review_id,session_id,observation_label,operating_mode,health_deviation_index,rule_threshold,dominant_deviation_signal,evidence_coverage,rule_review_level,suggested_manual_action,data_nature
BR-0012,BD-0186,03-12,4,12,6.17829115,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0013,BD-0187,03-12,4,12,6.17829115,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0014,BD-0192,03-19,5,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0015,BD-0193,03-19,5,12,12,切刀转矩标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0016,BD-0194,03-19,5,12,12,薄膜跟随误差标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0017,BD-0224,04-10,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0018,BD-0245,04-18,5,12,12,切刀转矩标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0019,BD-0247,04-18,5,12,12,切刀转矩标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0020,BD-0248,04-18,5,12,12,切刀转矩标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0021,BD-0249,04-19,5,12,12,切刀转矩标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0022,BD-0264,04-26,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0023,BD-0279,05-26,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0024,BD-0280,05-26,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0025,BD-0281,05-26,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0026,BD-0282,05-26,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0027,BD-0284,05-26,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0028,BD-0293,06-15,1,12,3.77546317,薄膜跟随误差标准差,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0029,BD-0294,06-15,1,12,3.77546317,薄膜跟随误差标准差,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0030,BD-0295,06-15,1,12,3.77546317,薄膜跟随误差标准差,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0031,BD-0302,06-22,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0032,BD-0340,07-20,5,12,12,切刀转矩绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0033,BD-0342,07-20,5,12,12,切刀转矩绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0034,BD-0348,07-26,5,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0035,BD-0349,07-26,5,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0036,BD-0350,07-26,5,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0037,BD-0351,07-26,5,12,12,切刀转矩标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0038,BD-0357,08-03,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0039,BD-0377,08-15,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0040,BD-0379,08-17,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0041,BD-0392,08-19,5,12,12,切刀转矩标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0042,BD-0435,10-20,6,12,8.0293902,切刀转矩标准差,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0043,BD-0437,10-20,6,12,8.0293902,切刀转矩RMS,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0044,BD-0438,10-20,6,12,8.0293902,切刀转矩RMS,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0045,BD-0447,10-24,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0046,BD-0448,10-24,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0047,BD-0450,10-25,5,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0048,BD-0451,10-25,6,12,8.0293902,切刀转矩标准差,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0049,BD-0452,10-25,6,12,8.0293902,切刀转矩标准差,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0050,BD-0466,10-31,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0051,BD-0467,10-31,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0052,BD-0468,10-31,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0053,BD-0469,10-31,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0054,BD-0470,10-31,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0055,BD-0471,10-31,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0056,BD-0472,10-31,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0057,BD-0473,11-01,5,12,12,切刀转矩标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0058,BD-0474,11-01,5,12,12,切刀转矩标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0059,BD-0475,11-01,5,12,12,切刀转矩绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0060,BD-0476,11-02,6,12,8.0293902,切刀转矩RMS,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0061,BD-0481,11-08,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0062,BD-0482,11-08,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0063,BD-0483,11-08,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0064,BD-0486,11-08,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0065,BD-0487,11-08,2,12,12,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0066,BD-0488,11-08,6,12,8.0293902,切刀转矩标准差,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0067,BD-0503,12-18,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0068,BD-0507,12-19,5,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0069,BD-0516,12-28,2,12,12,薄膜跟随误差标准差,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0070,BD-0517,12-28,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0071,BD-0518,12-28,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0072,BD-0519,12-28,2,12,12,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0073,BD-0142,02-23,3,10.53281862,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0074,BD-0138,02-23,3,10.47377599,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0075,BD-0140,02-23,3,10.30391807,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0076,BD-0143,02-23,3,10.04610499,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0077,BD-0141,02-23,3,9.85594698,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0078,BD-0139,02-23,3,9.73788794,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0079,BD-0308,06-28,6,9.46264452,8.0293902,切刀转矩RMS,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0080,BD-0144,02-23,3,8.57442556,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0081,BD-0368,08-11,3,8.03926247,3.51416998,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0082,BD-0430,10-02,1,7.92098129,3.77546317,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0083,BD-0372,08-11,3,7.65909087,3.51416998,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0084,BD-0277,05-22,3,7.50066972,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0085,BD-0370,08-11,3,7.21564248,3.51416998,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0086,BD-0063,01-22,3,6.98363963,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0087,BD-0301,06-20,1,6.7540875,3.77546317,切刀跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0088,BD-0366,08-11,3,6.7316161,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0089,BD-0154,02-28,4,6.62790239,6.17829115,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0090,BD-0079,01-26,3,6.34473575,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0091,BD-0180,03-06,1,6.29536141,3.77546317,切刀跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0092,BD-0159,02-28,4,6.26436225,6.17829115,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0093,BD-0278,05-22,3,6.20510515,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0094,BD-0371,08-11,3,6.1555948,3.51416998,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0095,BD-0508,12-25,1,6.03963667,3.77546317,切刀转矩RMS,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0096,BD-0367,08-11,3,6.00223848,3.51416998,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0097,BD-0275,05-22,3,5.74305187,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0098,BD-0373,08-11,3,5.69461613,3.51416998,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0099,BD-0395,08-19,3,5.64223231,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0100,BD-0082,01-26,3,5.62834646,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0101,BD-0078,01-26,3,5.59118868,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0102,BD-0514,12-25,1,5.56761828,3.77546317,薄膜跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0103,BD-0369,08-11,3,5.4795598,3.51416998,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0104,BD-0084,01-26,3,5.42794234,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0105,BD-0081,01-26,3,5.38194321,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0106,BD-0394,08-19,3,5.27268318,3.51416998,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0107,BD-0145,02-23,3,5.15545985,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0108,BD-0086,01-26,3,5.14096924,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0109,BD-0313,06-29,1,5.10275996,3.77546317,切刀跟随误差绝对峰值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0110,BD-0083,01-26,3,5.09014391,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0111,BD-0444,10-23,1,5.08962184,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0112,BD-0515,12-25,1,5.07602583,3.77546317,切刀跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0113,BD-0513,12-25,1,4.94860366,3.77546317,切刀转矩RMS,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0114,BD-0510,12-25,1,4.93294816,3.77546317,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0115,BD-0501,12-10,1,4.88140056,3.77546317,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0116,BD-0440,10-23,1,4.84264223,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0117,BD-0499,12-10,1,4.83583061,3.77546317,薄膜跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0118,BD-0332,07-12,1,4.83452432,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0119,BD-0085,01-26,3,4.81393946,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0120,BD-0276,05-22,3,4.7914634,3.51416998,薄膜跟随误差均值,可用,优先复核,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0121,BD-0374,08-15,1,4.76712774,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0122,BD-0418,09-12,1,4.64797781,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0123,BD-0309,06-29,1,4.58804463,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0124,BD-0455,10-26,1,4.55575861,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0125,BD-0443,10-23,1,4.52731244,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0126,BD-0318,07-05,1,4.48771142,3.77546317,切刀转矩均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0127,BD-0441,10-23,1,4.4565194,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0128,BD-0428,09-19,1,4.43634581,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0129,BD-0105,02-03,1,4.37694252,3.77546317,切刀跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0130,BD-0382,08-18,1,4.37414465,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0131,BD-0412,08-30,1,4.36967084,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0132,BD-0456,10-26,1,4.36794937,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0133,BD-0312,06-29,1,4.21750809,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0134,BD-0439,10-23,1,4.14259068,3.77546317,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0135,BD-0460,10-26,1,4.07509422,3.77546317,切刀转矩均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0136,BD-0463,10-30,1,4.06925231,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0137,BD-0320,07-05,1,4.03661585,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0138,BD-0454,10-26,1,4.01962839,3.77546317,切刀转矩均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0139,BD-0422,09-19,1,4.00150021,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0140,BD-0383,08-18,1,3.90577613,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0141,BD-0310,06-29,1,3.89947244,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0142,BD-0116,02-14,1,3.87472897,3.77546317,薄膜跟随误差RMS,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0143,BD-0003,01-04,1,3.85604256,3.77546317,切刀转矩均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0144,BD-0429,10-02,1,3.84878652,3.77546317,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0145,BD-0385,08-18,1,3.8333733,3.77546317,切刀转矩均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0146,BD-0453,10-26,1,3.82804533,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0147,BD-0354,08-02,1,3.81872653,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0148,BD-0432,10-02,1,3.80465558,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0149,BD-0423,09-19,1,3.79375951,3.77546317,切刀跟随误差绝对峰值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0150,BD-0446,10-24,1,3.78735745,3.77546317,切刀转矩均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0151,BD-0271,05-16,3,3.55550391,3.51416998,薄膜跟随误差均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
BR-0152,BD-0065,01-22,3,3.51416998,3.51416998,切刀转矩均值,可用,关注,待设备维护人员检查刀片、刀座与信号链路,rule-derived-review-queue-not-work-orders
